GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.config,WebConfig,0,8,0,0,0,2,0,2,0,2
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.config,WebConfig.new WebMvcConfigurer() {...},0,50,0,0,0,7,0,2,0,2
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.model,Resident,294,112,30,4,82,30,42,7,25,7
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.model,Intervenant,54,0,0,0,22,0,13,0,13,0
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.model,Resident.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.model,ProjetIntervenant,0,90,3,5,0,33,3,18,0,17
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.model,Resident.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.model,Notification,103,0,14,0,34,0,19,0,12,0
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.model,Personne,24,37,0,10,11,10,7,7,7,2
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.model,NotificationHandler,22,0,2,0,5,0,2,0,1,0
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.model,TravailResident,28,62,8,0,8,25,9,12,5,12
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend,Main,5,3,0,0,2,1,1,1,1,1
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.controllers,Projets,72,7,6,0,21,2,4,2,1,2
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.controllers,EnvoyerRequete,180,7,12,0,44,2,7,2,1,2
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.controllers,SignUpController,291,7,22,0,64,2,13,2,2,2
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.controllers,ConsulterNotifications,106,7,10,0,22,2,6,2,1,2
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.controllers,DefinirHorraires.ScheduleRequest,52,0,0,0,17,0,12,0,12,0
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.controllers,EnvoyerNotification,395,7,52,0,86,2,28,2,2,2
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.controllers,ConsulterCandidatures,147,103,21,13,41,21,16,6,1,4
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.controllers,SoumettreProjet,55,132,6,6,17,29,5,4,0,3
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.controllers,SoumettreCandidature,133,188,16,20,38,39,14,7,0,3
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.controllers,UpdateStatus,72,178,11,21,26,38,11,8,0,3
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.controllers,LoginController,219,7,32,0,50,2,19,2,3,2
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.controllers,DonneesTravaux,49,7,4,0,11,2,3,2,1,2
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.controllers,FuturTravaux,101,7,10,0,24,2,6,2,1,2
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.controllers,ModifierProjet,176,7,16,0,48,2,9,2,1,2
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.controllers,DefinirHorraires,53,7,0,0,13,2,2,2,2,2
maville_backend,ca.umontreal.ift2255.groupe2.maville_backend.controllers,AfficherTravaux,102,7,12,0,20,2,7,2,1,2
